brain_region_id,brain_region_name,cellinstance_cell_id,celltype_cell_name 
208,Retina,194,SC-ipsi/contra projecting retinal ganglion cell
208,Retina,195,dLGN-ipsi/contra/SC-contralateral projecting retinal ganglion cell
208,Retina,196,SC-ipsi/contra/dLGN-contralateral projecting retinal ganglion cell
208,Retina,197,SC-ipsi/dLGN-contralateral projecting retinal ganglion cell
208,Retina,198,SC-ipsi/dLGN-ipsilateral projecting retinal ganglion cell
208,Retina,199,SC-contra/dLGN-ipsilateral projecting retinal ganglion cell
208,Retina,20,motor neuron
208,Retina,21,sensory/motor neuron
208,Retina,22,interneuron
208,Retina,23,motor somatic neuron
208,Retina,24,motor autonomic neuron
208,Retina,25,motor neuroendocrine neuron
208,Retina,26,motor neuroendocrine magnocellular neuron
208,Retina,27,motor neuroendocrine magnocellular vasopressin neuron
208,Retina,28,motor neuroendocrine magnocellular oxytocin neuron
208,Retina,29,projection interneuron
208,Retina,36,preautonomic oxytocin neuron
208,Retina,39,motor neuroendocrine parvicellular CRH neuron
208,Retina,42,local interneuron, inhibitory
208,Retina,43,local interneuron, complex effect
208,Retina,44,local interneuron, unknown effect
208,Retina,45,basket neuron
208,Retina,46,stellate neuron
208,Retina,47,Golgi neuron
208,Retina,50,Lugaro neuron
208,Retina,51,unipolar brush neuron
208,Retina,53,rod
208,Retina,54,cone
208,Retina,55,retinal ganglion cell A
208,Retina,56,retinal ganglion cell A1
208,Retina,57,retinal ganglion cell A2 inner
208,Retina,59,retinal ganglion cell B
208,Retina,60,retinal ganglion cell B1
208,Retina,61,retinal ganglion cell B2
208,Retina,62,retinal ganglion cell B3
208,Retina,76,retinal ganglion cell Class IIa
208,Retina,91,retinal ganglion cell C4 outer
208,Retina,94,diffuse ganglion cell
232,Preoptic periventricular nucleus,100,retinal ganglion cell "tight" type
233,Supraoptic nucleus,100,retinal ganglion cell "tight" type
233,Supraoptic nucleus,101,retinal amacrine cell
233,Supraoptic nucleus,229,dense axon plexus-forming neurons
234,Supraoptic nucleus, retrochiasmatic part,101,retinal amacrine cell
236,Supraoptic nucleus, accessory supraoptic group, nucleus circularis,100,retinal ganglion cell "tight" type
236,Supraoptic nucleus, accessory supraoptic group, nucleus circularis,101,retinal amacrine cell
238,Paraventricular nucleus of the hypothalamus,227,common spiny neuron
238,Paraventricular nucleus of the hypothalamus,228,spiny neuron with chandelier-like axon
240,Paraventricular nucleus of the hypothalamus, descending division, medial parvicellular part, ventral zone,102,wide field diffuse amacrine cell
240,Paraventricular nucleus of the hypothalamus, descending division, medial parvicellular part, ventral zone,105,type (a) narrow-field unistratified amacrine cell
240,Paraventricular nucleus of the hypothalamus, descending division, medial parvicellular part, ventral zone,230,spiny neurogliaform neuron
240,Paraventricular nucleus of the hypothalamus, descending division, medial parvicellular part, ventral zone,231,beaded neuron
240,Paraventricular nucleus of the hypothalamus, descending division, medial parvicellular part, ventral zone,233,projecting star neuron
240,Paraventricular nucleus of the hypothalamus, descending division, medial parvicellular part, ventral zone,244,PVN pre-autonomic type C neuron
240,Paraventricular nucleus of the hypothalamus, descending division, medial parvicellular part, ventral zone,245,burst LTS neuron
240,Paraventricular nucleus of the hypothalamus, descending division, medial parvicellular part, ventral zone,246,simple bipolar neuron
240,Paraventricular nucleus of the hypothalamus, descending division, medial parvicellular part, ventral zone,247,monopolar neuron
